Estatura(metros),Edad(Años)
1.77,26
1.74,31
1.72,24
1.78,34
1.65,32
1.66,29
1.64,27
1.85,34
1.85,26
1.75,21
1.73,23
1.79,25
1.82,24
1.65,25
1.79,25
1.72,34
1.70,26
1.57,25
1.66,26
1.75,27
1.77,32
1.80,40
1.85,25
1.82,24
1.75,38
1.73,34
1.55,29
1.76,28
1.68,27
1.65,30
1.72,26
1.90,24
1.74,34
1.73,33
1.83,53
1.65,28
1.73,24
1.73,22
1.73,23
1.65,43
1.72,26
1.63,31
1.73,35
1.85,49
1.71,28
1.70,28
1.68,35
1.63,25
1.64,39
1.70,33
1.65,31
1.68,34
1.71,29
